point_id,original_events,channel,selected_events,sumw_pb,sumw2_pb2,nominal_yield,histogram_relative_mc,diagnostic_5percent
m100_m98,20000,CRtop_MT2_lowmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2a_hghmet_cuts,2,1.431280452379724e-05,1.0242818666821537e-10,1.9894798288078164,0.7071067811865476,exceeds_target
m100_m98,20000,SRee_eMT2a_lowmet_V2_cuts,1,7.15640226189862e-06,5.1214093334107685e-11,0.9947399144039082,1.0,exceeds_target
m100_m98,20000,SRee_eMT2b_hghmet_cuts,4,2.862560904759448e-05,2.0485637333643074e-10,3.9789596576156328,0.5,exceeds_target
m100_m98,20000,SRee_eMT2b_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2c_hghmet_cuts,9,6.440762035708758e-05,4.6092684000696917e-10,8.952659229635174,0.3333333333333333,exceeds_target
m100_m98,20000,SRee_eMT2c_lowmet_V2_cuts,2,1.431280452379724e-05,1.0242818666821537e-10,1.9894798288078164,0.7071067811865476,exceeds_target
m100_m98,20000,SRee_eMT2d_hghmet_cuts,2,1.431280452379724e-05,1.0242818666821537e-10,1.9894798288078164,0.7071067811865476,exceeds_target
m100_m98,20000,SRee_eMT2d_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2e_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2e_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2f_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2f_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2g_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2g_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2h_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRee_eMT2h_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m100_m98,20000,SRmm_eMT2a_hghmet_cuts,4,2.862560904759448e-05,2.0485637333643074e-10,3.9789596576156328,0.5,exceeds_target
m100_m98,20000,SRmm_eMT2a_lowmet_V2_cuts,1,7.15640226189862e-06,5.1214093334107685e-11,0.9947399144039082,1.0,exceeds_target
