point_id,generated_one_parton_sigma95_pb,inclusive_generator_integration_only_error_pb,inclusive_sigma95_fb,inclusive_sigma95_pb,mu95,public_uncertainty,quantile,ratio_to_reference,reference_sigma95_pb,reference_status,residual_percent
m50_m45,0.07645666298697534,0.0014305617062046012,615.6280233561408,0.6156280233561409,0.05975063720980534,,observed,1.168351976307866,0.52692,supplied_central_only,16.835197630786602
m50_m45,0.04824320855608977,0.0009026667401968762,388.45366725988396,0.38845366725988395,0.03770191294855428,,expected_minus2,,,expected_band_not_supplied,
m50_m45,0.06573289720748146,0.0012299119777033104,529.280405348163,0.529280405348163,0.05137004860469425,,expected_minus1,,,expected_band_not_supplied,
m50_m45,0.09380795883793776,0.0017552175102597972,755.3404244743443,0.7553404244743444,0.0733106193357251,,expected_median,1.068162491832373,0.70714,supplied_central_only,6.816249183237311
m50_m45,0.13693760237822541,0.0025622056005129763,1102.619734915678,1.102619734915678,0.10701629760477219,,expected_plus1,,,expected_band_not_supplied,
m50_m45,0.19693293850580207,0.0036847634922902504,1585.7013755190517,1.5857013755190517,0.15390246060471682,,expected_plus2,,,expected_band_not_supplied,
m100_m98,0.04431671483151462,0.000580562174000457,210.00493934592743,0.21000493934592743,0.30962985674843846,,observed,0.8818919890224979,0.23813,supplied_central_only,-11.810801097750211
m100_m98,0.0180461200300771,0.00023640955149239527,85.51568763058836,0.08551568763058837,0.1260837492359523,,expected_minus2,,,expected_band_not_supplied,
m100_m98,0.024747691617211628,0.0003242021368552382,117.27262494034062,0.11727262494034062,0.17290596199253247,,expected_minus1,,,expected_band_not_supplied,
m100_m98,0.03568350244428975,0.0004674645183824752,169.0944781208009,0.1690944781208009,0.24931175047864837,,expected_median,0.8290570608001613,0.20396,supplied_central_only,-17.094293919983873
m100_m98,0.0528311896593422,0.0006921043321976286,250.35273535423647,0.25035273535423647,0.36911837324275404,,expected_plus1,,,expected_band_not_supplied,
m100_m98,0.0771177894886003,0.0010102660291907116,365.44037087624537,0.36544037087624537,0.5388028016718284,,expected_plus2,,,expected_band_not_supplied,
m150_m140,0.012126480089735048,0.0001298788016830531,47.37174089202636,0.04737174089202636,0.29723678392474523,,observed,1.0158415905480316,0.046633,supplied_central_only,1.584159054803158
m150_m140,0.007798044970762333,8.351976243547352e-05,30.462835306349294,0.030462835306349294,0.1911408579289205,,expected_minus2,,,expected_band_not_supplied,
m150_m140,0.010501902162311987,0.00011247900941909244,41.02537458727025,0.04102537458727025,0.2574161340074526,,expected_minus1,,,expected_band_not_supplied,
m150_m140,0.014661217107838185,0.00015702671303546468,57.27361714650945,0.05727361714650945,0.3593666908541052,,expected_median,1.013226075549472,0.056526,supplied_central_only,1.3226075549471972
m150_m140,0.0205989038083948,0.00022062139407489433,80.46901711380073,0.08046901711380074,0.5049075968520584,,expected_plus1,,,expected_band_not_supplied,
m150_m140,0.02799802645576859,0.0002998685602629059,109.3734739954327,0.10937347399543271,0.6862703173855965,,expected_plus2,,,expected_band_not_supplied,
