parent_GeV,lsp_GeV,region,original_events,selected_events,selected_rate_after_K_pb,inclusive_LO_pb,K,inclusive_reco_fraction,public_acceptance_fraction,public_efficiency_fraction,public_algebraic_product,central_residual_percent,fixed_N_conditional_mc_standard_error,histogram_mc_standard_error,inclusive_integration_only_standard_error,public_uncertainty
50,45,high,20000,24,0.00153551489347592,8.7316,1.18,0.0001490315415308123,0.00033083,0.50567,0.0001672908061,-10.914685029536543,3.0402678733825292e-05,3.042093602757416e-05,3.463110973544575e-07,
50,45,low,20000,33,0.00211133297852939,8.7316,1.18,0.0002049183696048669,0.00086983,0.26302,0.0002287826866,-10.430997795238362,3.5642269008882744e-05,3.567170944307855e-05,4.7617775886237905e-07,
100,98,high,20000,59,0.0004222277334520186,0.574784,1.18,0.0006225297034971938,0.001459,0.40101,0.00058507359,6.401949111597016,8.092682992703755e-05,8.104646415151484e-05,1.7209937974213633e-06,
100,98,low,20000,11,7.872042488088482e-05,0.574784,1.18,0.00011606485997405309,0.00041601,0.22752,9.46505952e-05,22.624543172500932,3.4985246039700825e-05,3.4994871989006606e-05,3.208632503666949e-07,
150,140,high,60000,616,0.000418853308474354,0.1350625,1.18,0.002628119803131658,0.005910599999999999,0.49691,0.002937036246,-10.517964948136427,0.00010534498614564657,0.00010588996566462659,7.205499402866472e-06,
150,140,low,60000,487,0.0003311406883312884,0.1350625,1.18,0.0020777617915829203,0.007624100000000001,0.28731,0.0021904801710000005,-5.14582970936559,9.376885931706106e-05,9.415237504248657e-05,5.696586331684631e-06,
