parent_GeV,lsp_GeV,original_events,observed_fb,observed_reference_fb,observed_residual_percent,median_expected_fb,median_expected_reference_fb,median_expected_residual_percent,high_selected_events,high_histogram_mc_percent,low_selected_events,low_histogram_mc_percent,zero_selected_channels
50,45,20000,615.6280233561408,526.9200000000001,16.835197630786602,755.3404244743443,707.14,6.816249183237311,24,20.41241452319315,33,17.40776559556978,17
100,98,20000,210.00493934592743,238.13,-11.810801097750211,169.0944781208009,203.96,-17.094293919983873,59,13.018891098082388,11,30.15113445777636,22
150,140,60000,47.37174089202636,46.633,1.584159054803158,57.27361714650945,56.526,1.3226075549471972,616,4.029114865252661,487,4.53143259366405,11
