SR,events,acceptance,err
All,200000,0.3123,4.87656e-07
Preselection,1055,0.005275,0.000162404
SRlow,95,0.000475,4.8734e-05
SRISR,19,9.5e-05,2.17945e-05
CRlow,65,0.000325,4.03113e-05
CRISR,16,8e-05,2e-05
VRlow,28,0.00014,2.64575e-05
VRISR,19,9.5e-05,2.17945e-05
VRISRsmallPTsoft,2,1e-05,7.07107e-06
VRISRsmallRjetsinv,15,7.5e-05,1.93649e-05
