campaign,kind,tag,m_parent,dm,comparison_status,limit_status,historical_only,reference_fb,limit_fb,residual,reported_raw_mu,reported_model_mu,sample_status,bracket_width_over_reported,linear_interpolation_match,first_interval,sr_s_imt2h_events,n_detector_events,detector_exposure_complete,signal_stat_nuisance_present
original,observed,m50_dm2,50.0,2.0,matched,legacy_reported,True,1083.3999999999999,991.416138387357,-0.0849029551528917,0.09609902558989801,0.09234234193201186,sampled_bracket,1.0395526841897713,True,True,7.0,20000,True,False
original,observed,m50_dm5,50.0,5.0,matched,legacy_reported,True,526.9200000000001,989.7770654954294,0.8784199982832863,0.0959401485031872,0.09218967563621798,sampled_bracket,1.0412741856104304,True,True,10.0,20000,True,False
original,observed,m60_dm2,60.0,2.0,matched,legacy_reported,True,707.51,831.919738658896,0.17584166818687508,0.18775976130500407,0.1620459457064022,sampled_bracket,0.5320628834722401,True,False,6.0,20000,True,False
original,observed,m60_dm5,60.0,5.0,quality_flag,unverified,False,,,,1.0,0.8630493806560003,all_below,,,False,31.0,20000,True,False
original,observed,m70_dm2,70.0,2.0,matched,legacy_reported,True,568.9300000000001,488.8700920378915,-0.1407201377359404,0.19917613956597216,0.17768655237690342,sampled_bracket,0.5015661023338119,True,False,8.0,20000,True,False
original,observed,m70_dm5,70.0,5.0,quality_flag,unverified,False,,,,1.0,0.8921076227509128,all_below,,,False,50.0,20000,True,False
original,observed,m90_dm20,90.0,20.0,matched,legacy_reported,True,358.95,283.43197133239477,-0.21038592747626472,0.2865994026800971,0.2675509768084125,sampled_bracket,0.3485701612278258,True,False,26.0,20000,True,False
original,observed,m90_dm40,90.0,40.0,matched,legacy_reported,True,2499.2999999999997,413.33726370184087,-0.834618787779842,0.4179564229310137,0.39017753761113605,sampled_bracket,0.23902013348527737,True,False,19.0,20000,True,False
original,observed,m100_dm2,100.0,2.0,matched,legacy_reported,True,238.13,348.1420828045565,0.46198329821759754,0.5110751762648298,0.4759664933796012,sampled_bracket,0.19547026472722626,True,False,13.0,20000,True,False
original,observed,m100_dm5,100.0,5.0,matched,legacy_reported,True,90.003,103.13478304472902,0.1459038370357546,0.15140263135959503,0.1410019169065049,sampled_bracket,0.6598300115585733,True,False,58.0,20000,True,False
original,observed,m100_dm10,100.0,10.0,matched,legacy_reported,True,96.834,68.49550317404207,-0.29265027599766535,0.10055190994440617,0.09364442297635803,sampled_bracket,0.993516682629235,True,True,68.0,20000,True,False
original,observed,m100_dm20,100.0,20.0,matched,legacy_reported,True,320.95,199.88617325302283,-0.3772046323320678,0.293434394386446,0.2732767041315108,sampled_bracket,0.3404508875276364,True,False,33.0,20000,True,False
original,observed,m100_dm30,100.0,30.0,matched,legacy_reported,True,920.14,270.3865893659021,-0.7061462501729061,0.3969295314907445,0.3696621671261922,sampled_bracket,0.2516819537836011,True,False,25.0,20000,True,False
original,observed,m100_dm40,100.0,40.0,matched,legacy_reported,True,1134.2,548.8420635397085,-0.5160976339801547,0.8057042461097103,0.7503558038654912,sampled_bracket,0.24748535329531854,True,False,12.0,20000,True,False
original,observed,m125_dm2,125.0,2.0,matched,legacy_reported,True,168.15,118.94043868163727,-0.29265275836076554,0.3870894006349844,0.35631119030211295,sampled_bracket,0.25807991599905156,True,False,32.0,20000,True,False
original,observed,m125_dm5,125.0,5.0,matched,legacy_reported,True,76.247,70.50308094903853,-0.07533304983752098,0.22945093905809227,0.21120686094120214,sampled_bracket,0.4353871917460638,True,False,79.0,20000,True,False
original,observed,m125_dm10,125.0,10.0,matched,legacy_reported,True,66.653,57.2576123399797,-0.14095971164119103,0.18634381282044832,0.17152726383768438,sampled_bracket,0.5361058061866465,True,False,112.0,20000,True,False
original,observed,m125_dm20,125.0,20.0,matched,legacy_reported,True,204.88,126.188551279904,-0.3840855560332682,0.4106782455433823,0.37802444153910264,sampled_bracket,0.24325612832941482,True,False,59.0,20000,True,False
original,observed,m125_dm30,125.0,30.0,matched,legacy_reported,True,498.28,235.4755471285443,-0.5274232416943399,0.7663506996654075,0.7054167061632528,sampled_bracket,0.26084663338505115,True,False,32.0,20000,True,False
original,observed,m125_dm40,125.0,40.0,matched,legacy_reported,True,552.63,439.2169094060657,-0.2052242740964737,1.429423096931896,1.315766963077896,sampled_bracket,0.1398466279361681,True,False,26.0,20000,True,False
original,observed,m150_dm2,150.0,2.0,matched,legacy_reported,True,121.06,86.49385960828877,-0.28552899712300706,0.5437647895987441,0.49642789667983805,sampled_bracket,0.36762218485590187,True,False,27.0,20000,True,False
original,observed,m150_dm5,150.0,5.0,matched,legacy_reported,True,51.446,59.81654547834596,0.16270546744831393,0.37605133374623384,0.3433145658310235,sampled_bracket,0.2656552205380936,True,False,94.0,20000,True,False
original,observed,m150_dm10,150.0,10.0,matched,legacy_reported,True,46.633,31.311369949824392,-0.32855767482631637,0.19684658043844633,0.17971030078609224,sampled_bracket,0.5075018310071107,True,False,134.0,20000,True,False
original,observed,m150_dm20,150.0,20.0,matched,legacy_reported,True,128.33,101.8077078959926,-0.20667257931900107,0.6400390399307568,0.5843210896760542,sampled_bracket,0.31232469822719927,True,False,75.0,20000,True,False
original,observed,m150_dm25p7,150.0,25.700000000000003,matched,legacy_reported,True,200.2,131.7015246845447,-0.3421502263509255,0.8279738259369149,0.7558954032664169,sampled_bracket,0.24082886892513028,True,False,51.0,20000,True,False
original,observed,m150_dm30,150.0,30.0,matched,legacy_reported,True,334.09,273.4893639515494,-0.18139015249917856,1.7193577338333648,1.5696807880424803,sampled_bracket,0.2322960441219667,True,False,42.0,20000,True,False
original,observed,m150_dm40,150.0,40.0,matched,legacy_reported,True,545.11,209.51922655093256,-0.6156386297243996,1.3171938292304108,1.2025268547583516,sampled_bracket,0.3035999646564146,True,False,24.0,20000,True,False
original,observed,m175_dm2,175.0,2.0,matched,legacy_reported,True,82.24199999999999,69.26965073692351,-0.1577338739704346,0.7672861505814144,0.6961693341693523,sampled_bracket,0.26052861745064065,True,False,28.0,20000,True,False
original,observed,m175_dm5,175.0,5.0,matched,legacy_reported,True,49.546,32.20709828200977,-0.34995563149376807,0.3567516249800872,0.3236856823729013,sampled_bracket,0.28002675532473353,True,False,130.0,20000,True,False
original,observed,m175_dm10,175.0,10.0,matched,legacy_reported,True,33.589,29.35025714109173,-0.1261943749116755,0.32510696359493624,0.2949740435275738,sampled_bracket,0.30728348262779565,True,False,152.0,20000,True,False
original,observed,m175_dm20,175.0,20.0,matched,legacy_reported,True,85.084,76.68600711886562,-0.09870237507797452,0.8494356558712831,0.770704716251583,sampled_bracket,0.23474408993989232,True,False,79.0,20000,True,False
original,observed,m175_dm30,175.0,30.0,matched,legacy_reported,True,302.47,171.51083784232017,-0.432965788863953,1.899791454858311,1.7237070566009143,sampled_bracket,0.21023360168223715,True,False,39.0,20000,True,False
original,observed,m175_dm40,175.0,40.0,matched,legacy_reported,True,268.23,240.3087789968347,-0.10409432577700228,2.6618525721700537,2.4151356458348814,sampled_bracket,0.15023371473724592,True,False,38.0,20000,True,False
original,observed,m200_dm2,200.0,2.0,matched,legacy_reported,True,79.242,56.97765054840687,-0.280966525978561,1.042898371476718,0.9397799714550246,sampled_bracket,0.19244444663943017,True,False,30.0,20000,True,False
original,observed,m200_dm5,200.0,5.0,matched,legacy_reported,True,38.733,34.27738782017661,-0.11503400665642705,0.6274009474252988,0.5653655817175333,sampled_bracket,0.31861603145538914,True,False,121.0,20000,True,False
original,observed,m200_dm10,200.0,10.0,matched,legacy_reported,True,37.495,32.077850420139946,-0.14447658567435795,0.5871414079317999,0.5290867745865764,sampled_bracket,0.340463127450244,True,False,172.0,20000,True,False
original,observed,m200_dm20,200.0,20.0,matched,legacy_reported,True,78.76700000000001,45.445781921092745,-0.42303525688305077,0.8318232061135574,0.7495752321389809,sampled_bracket,0.23947396338063437,True,False,115.0,20000,True,False
original,observed,m200_dm30,200.0,30.0,matched,legacy_reported,True,147.31,122.90131857896621,-0.1656960248525816,2.249541421323645,2.027114079893475,sampled_bracket,0.177769565036369,True,False,54.0,20000,True,False
original,observed,m200_dm40,200.0,40.0,matched,legacy_reported,True,150.01,133.5033755315833,-0.1100368273342891,2.4435976490509383,2.201982658790567,sampled_bracket,0.3273452158994632,True,False,50.0,20000,True,False
original,observed,m225_dm2,225.0,2.0,matched,legacy_reported,True,53.833,52.32994818452864,-0.02792064004367878,1.5038623736848558,1.3479720039803322,sampled_bracket,0.3995046425211655,True,False,32.0,20000,True,False
original,observed,m225_dm5,225.0,5.0,matched,legacy_reported,True,35.82,26.159181118936477,-0.2697046030447662,0.7517647078963992,0.6738367802512452,sampled_bracket,0.26590766751922096,True,False,152.0,20000,True,False
original,observed,m225_dm10,225.0,10.0,matched,legacy_reported,True,30.735,23.202701956643,-0.2450723293755327,0.6668011655080467,0.5976805584436136,sampled_bracket,0.29978951798575953,True,False,190.0,20000,True,False
