quantile,baseline_mu,signal_mc_off_mu,signal_mc_and_CR_off_mu,mc_off_over_baseline,CR_off_over_mc_off,both_off_over_baseline,mc_off_change_percent,additional_CR_off_change_percent,both_off_change_percent
observed,0.30962985674843846,0.29071993156501585,0.28938774071999634,0.9389273199232007,0.9954176143415829,0.9346247928380886,-6.1072680076799335,-0.4582385658417065,-6.537520716191136
expected_minus2,0.1260837492359523,0.12457272799439471,0.12435318248625835,0.9880157335841125,0.9982376117817197,0.9862744662957683,-1.1984266415887457,-0.1762388218280342,-1.3725533704231685
expected_minus1,0.17290596199253247,0.16931982127069276,0.16902737879732682,0.9792595889666628,0.9982728396996214,0.9775682506808345,-2.0740411033337236,-0.17271603003785607,-2.2431749319165473
expected_median,0.24931175047864837,0.23998480031136363,0.23957689687773043,0.9625892074907094,0.9983002947140653,0.9609530895265538,-3.741079250929058,-0.16997052859346606,-3.9046910473446217
expected_plus1,0.36911837324275404,0.3447645963782232,0.3441833818964425,0.9340217701693371,0.998314170051431,0.9324471682965702,-6.597822983066292,-0.16858299485690287,-6.7552831703429845
expected_plus2,0.5388028016718284,0.4813946274381828,0.4805816364990108,0.893452346469773,0.998311175711498,0.8919434624464357,-10.6547653530227,-0.16888242885020333,-10.805653755356426
