SR,events,acceptance,err
All,10000,0.140774,1.98173e-06
SR2j_1600_SR,564,0.0564,0.00237487
SR2j_2200_SR,128,0.0128,0.00113137
SR2j_2800_SR,8,0.0008,0.000282843
SR4j_1000_SR,106,0.0106,0.00102956
SR4j_2200_SR,21,0.0021,0.000458258
SR4j_3400_SR,1,0.0001,0.0001
SR5j_1600_SR,41,0.0041,0.000640312
SR6j_1000_SR,2,0.0002,0.000141421
SR6j_2200_SR,1,0.0001,0.0001
SR6j_3400_SR,0,0,0
