sample,arm,predicate,count,sumw_pb,sumw2_pb2,unknown_count,conditional_status,conditional_ratio,conditional_mc_standard_error
smoke2,high,bad_jet_veto,1000,0.04110329973627813,1.6894812492103557e-06,0,estimated,1.0,0.0
smoke2,high,baseline_lepton,830,0.03411573878111085,1.4022694368445852e-06,0,estimated,0.83,0.01187855210031958
smoke2,high,signal_jet,790,0.032471606791659724,1.3346901868761686e-06,0,estimated,0.9518072289156626,0.0074340658336295275
smoke2,high,two_signal_leptons,340,0.013975121910334565,5.744236247315059e-07,0,estimated,0.43037974683544306,0.017615909823882794
smoke2,high,jpsi_veto,339,0.013934018610598287,5.727341434822956e-07,0,estimated,0.9970588235294118,0.0029368480260491573
smoke2,high,min_jet_met_dphi,319,0.013111952615872724,5.389445184980894e-07,0,estimated,0.9410029498525073,0.01279707726372572
smoke2,high,leading_jet_met_dphi,300,0.01233098992088344,5.068443747630936e-07,0,estimated,0.9404388714733543,0.013251083884842309
smoke2,high,mll_window,264,0.010851271130377427,4.4602304979152245e-07,0,estimated,0.88,0.018761663039293643
smoke2,high,lepton_separation,264,0.010851271130377427,4.4602304979152245e-07,0,estimated,1.0,0.0
smoke2,high,leading_lepton_pt,263,0.010810167830641149,4.4433356854231214e-07,0,estimated,0.9962121212121212,0.0037806979685529956
smoke2,high,jet_count,263,0.010810167830641149,4.4433356854231214e-07,0,estimated,1.0,0.0
smoke2,high,leading_jet_pt,130,0.005343428965716157,2.1963256239734108e-07,0,estimated,0.49429657794676807,0.030829314908164485
smoke2,high,b_veto,123,0.00505570586756221,2.0780619365286892e-07,0,estimated,0.9461538461538461,0.01979641489728919
smoke2,high,mtautau_veto,109,0.004480259671254316,1.841534561639246e-07,0,estimated,0.8861788617886179,0.028636477775937516
smoke2,high,same_flavour,109,0.004480259671254316,1.841534561639246e-07,0,estimated,1.0,0.0
smoke2,high,opposite_charge,107,0.00439805307178176,1.8077449366550398e-07,0,estimated,0.981651376146789,0.012854853742188824
smoke2,high,met_preselection,84,0.003452677177847363,1.4191642493366688e-07,0,estimated,0.7850467289719626,0.03971256096190619
smoke2,high,met_high,42,0.0017263385889236815,7.095821246683352e-08,0,estimated,0.5,0.05455447255899806
smoke2,high,risr_high,28,0.0011508923926157877,4.7305474977889014e-08,0,estimated,0.6666666666666666,0.07273929674533079
smoke2,high,subleading_pt_high,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,0.39285714285714285,0.09229618630166093
smoke2,high,mt2_gt_100,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,1.0,0.0
smoke2,high,mt2_lt_140,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,1.0,0.0
smoke2,high,mt2_lt_130,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,1.0,0.0
smoke2,high,mt2_lt_120,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,1.0,0.0
smoke2,high,mt2_lt_110,11,0.00045213629709905945,1.858429374131354e-08,0,estimated,1.0,0.0
smoke2,high,mt2_lt_105,9,0.0003699296976265032,1.5205331242892897e-08,0,estimated,0.8181818181818182,0.11629129983033297
smoke2,high,mt2_lt_102,4,0.00016441319894511253,6.757924996841288e-09,0,estimated,0.4444444444444444,0.16563466499998442
smoke2,high,mt2_lt_101,3,0.0001233098992088344,5.068443747630966e-09,0,estimated,0.75,0.21650635094610965
smoke2,high,mt2_lt_100p5,0,0.0,0.0,0,zero_selected_precision_unresolved,0.0,
smoke2,low,bad_jet_veto,1000,0.04110329973627813,1.6894812492103557e-06,0,estimated,1.0,0.0
smoke2,low,baseline_lepton,830,0.03411573878111085,1.4022694368445852e-06,0,estimated,0.83,0.01187855210031958
smoke2,low,signal_jet,790,0.032471606791659724,1.3346901868761686e-06,0,estimated,0.9518072289156626,0.0074340658336295275
smoke2,low,two_signal_leptons,340,0.013975121910334565,5.744236247315059e-07,0,estimated,0.43037974683544306,0.017615909823882794
smoke2,low,jpsi_veto,339,0.013934018610598287,5.727341434822956e-07,0,estimated,0.9970588235294118,0.0029368480260491573
smoke2,low,min_jet_met_dphi,319,0.013111952615872724,5.389445184980894e-07,0,estimated,0.9410029498525073,0.01279707726372572
smoke2,low,leading_jet_met_dphi,300,0.01233098992088344,5.068443747630936e-07,0,estimated,0.9404388714733543,0.013251083884842309
smoke2,low,mll_window,264,0.010851271130377427,4.4602304979152245e-07,0,estimated,0.88,0.018761663039293643
smoke2,low,lepton_separation,264,0.010851271130377427,4.4602304979152245e-07,0,estimated,1.0,0.0
smoke2,low,leading_lepton_pt,263,0.010810167830641149,4.4433356854231214e-07,0,estimated,0.9962121212121212,0.0037806979685529956
smoke2,low,jet_count,263,0.010810167830641149,4.4433356854231214e-07,0,estimated,1.0,0.0
smoke2,low,leading_jet_pt,130,0.005343428965716157,2.1963256239734108e-07,0,estimated,0.49429657794676807,0.030829314908164485
smoke2,low,b_veto,123,0.00505570586756221,2.0780619365286892e-07,0,estimated,0.9461538461538461,0.01979641489728919
smoke2,low,mtautau_veto,109,0.004480259671254316,1.841534561639246e-07,0,estimated,0.8861788617886179,0.028636477775937516
smoke2,low,same_flavour,109,0.004480259671254316,1.841534561639246e-07,0,estimated,1.0,0.0
smoke2,low,opposite_charge,107,0.00439805307178176,1.8077449366550398e-07,0,estimated,0.981651376146789,0.012854853742188824
smoke2,low,met_preselection,84,0.003452677177847363,1.4191642493366688e-07,0,estimated,0.7850467289719626,0.03971256096190619
smoke2,low,met_low,27,0.0011097890928795096,4.561599372867869e-08,0,estimated,0.32142857142857145,0.05095659274346472
smoke2,low,risr_low,18,0.0007398593952530064,3.0410662485785795e-08,0,estimated,0.6666666666666666,0.09072184232530289
smoke2,low,subleading_pt_low,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,0.5555555555555556,0.11712139482105109
smoke2,low,mt2_gt_100,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,1.0,0.0
smoke2,low,mt2_lt_140,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,1.0,0.0
smoke2,low,mt2_lt_130,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,1.0,0.0
smoke2,low,mt2_lt_120,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,1.0,0.0
smoke2,low,mt2_lt_110,10,0.0004110329973627813,1.689481249210322e-08,0,estimated,1.0,0.0
smoke2,low,mt2_lt_105,9,0.0003699296976265032,1.5205331242892897e-08,0,estimated,0.9,0.09486832980505137
smoke2,low,mt2_lt_102,4,0.00016441319894511253,6.757924996841288e-09,0,estimated,0.4444444444444444,0.16563466499998442
smoke2,low,mt2_lt_101,3,0.0001233098992088344,5.068443747630966e-09,0,estimated,0.75,0.21650635094610965
smoke2,low,mt2_lt_100p5,0,0.0,0.0,0,zero_selected_precision_unresolved,0.0,
anchor20k,high,bad_jet_veto,20000,0.04078872279933421,8.31859953800828e-08,0,estimated,1.0,0.0
anchor20k,high,baseline_lepton,16432,0.033512014651932986,6.834561380425911e-08,0,estimated,0.8216,0.002707152009032694
anchor20k,high,signal_jet,15526,0.03166428550912315,6.457728821353707e-08,0,estimated,0.9448636806231743,0.0017805667139122671
anchor20k,high,two_signal_leptons,6928,0.01412921357768937,2.8815628799647693e-08,0,estimated,0.44621924513718925,0.0039894523952433165
anchor20k,high,jpsi_veto,6922,0.01411697696084957,2.879067300103368e-08,0,estimated,0.999133949191686,0.0003534106266952501
anchor20k,high,min_jet_met_dphi,6548,0.01335422784450202,2.7235094887426832e-08,0,estimated,0.9459693730135799,0.002717332255611051
anchor20k,high,leading_jet_met_dphi,6119,0.012479309740456301,2.545075528652486e-08,0,estimated,0.9344838118509469,0.003057777400790335
anchor20k,high,mll_window,5391,0.010994600230560536,2.2422785054691213e-08,0,estimated,0.8810263114888054,0.004138849892971184
anchor20k,high,lepton_separation,5390,0.01099256079442057,2.241862575492221e-08,0,estimated,0.9998145056575775,0.00018547713754916317
anchor20k,high,leading_lepton_pt,5359,0.010929338274081601,2.228968746208314e-08,0,estimated,0.9942486085343228,0.0010300055804274189
anchor20k,high,jet_count,5359,0.010929338274081601,2.228968746208314e-08,0,estimated,1.0,0.0
anchor20k,high,leading_jet_pt,2735,0.005577857842808953,1.1375684868221199e-08,0,estimated,0.5103564097779436,0.006828651437757627
anchor20k,high,b_veto,2598,0.005298455091633514,1.0805860799867889e-08,0,estimated,0.9499085923217551,0.004171035257664301
anchor20k,high,mtautau_veto,2151,0.004386827137068394,8.946653803123877e-09,0,estimated,0.8279445727482679,0.007404832629321592
anchor20k,high,same_flavour,2151,0.004386827137068394,8.946653803123877e-09,0,estimated,1.0,0.0
anchor20k,high,opposite_charge,2136,0.0043562355949688936,8.884264306588843e-09,0,estimated,0.99302649930265,0.0017942610855273217
anchor20k,high,met_preselection,1682,0.003430331587424007,6.995942211461814e-09,0,estimated,0.7874531835205992,0.008851951986530968
anchor20k,high,met_high,819,0.0016702981986327359,3.40646651081286e-09,0,estimated,0.4869203329369798,0.012187324127442702
anchor20k,high,risr_high,473,0.000964653294204254,1.9673487907380767e-09,0,estimated,0.5775335775335775,0.01726007852147761
anchor20k,high,subleading_pt_high,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,0.4312896405919662,0.022771912826182364
anchor20k,high,mt2_gt_100,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,1.0,0.0
anchor20k,high,mt2_lt_140,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,1.0,0.0
anchor20k,high,mt2_lt_130,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,1.0,0.0
anchor20k,high,mt2_lt_120,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,1.0,0.0
anchor20k,high,mt2_lt_110,204,0.00041604497255320894,8.484971528764677e-10,0,estimated,1.0,0.0
anchor20k,high,mt2_lt_105,149,0.00030387598485503986,6.197356655813432e-10,0,estimated,0.7303921568627451,0.031069139696033088
anchor20k,high,mt2_lt_102,55,0.00011216898769816908,2.2876148729512737e-10,0,estimated,0.3691275167785235,0.03953355495464546
anchor20k,high,mt2_lt_101,15,3.059154209950066e-05,6.238949653503474e-11,0,estimated,0.2727272727272727,0.060052569006892396
anchor20k,high,mt2_lt_100p5,3,6.118308419900131e-06,1.2477899307006948e-11,0,estimated,0.2,0.10327955589886445
anchor20k,low,bad_jet_veto,20000,0.04078872279933421,8.31859953800828e-08,0,estimated,1.0,0.0
