sample,original_events,observed_mu,expected_minus2_mu,expected_minus1_mu,expected_median_mu,expected_plus1_mu,expected_plus2_mu,observed_sigma95_fb,expected_minus2_sigma95_fb,expected_minus1_sigma95_fb,expected_median_sigma95_fb,expected_plus1_sigma95_fb,expected_plus2_sigma95_fb,observed_residual_fraction,median_expected_residual_fraction
nominal_20k,20000,0.3063582660172587,0.18139131700105768,0.2448124224549655,0.3431289193688884,0.4853627386720913,0.6673034721633275,48.82546569866808,28.909014407897313,39.01667381323206,54.68574261326738,77.35407977244121,106.35065674669013,0.04701532602809344,-0.03255594570167042
nominal_40k,40000,0.29092970511506944,0.19332653483356463,0.2603271032241527,0.36338011877887505,0.5105459980465568,0.6941727983831703,46.36655809058279,30.81117483093082,41.4893066674703,57.913252205234734,81.36763025617242,110.63292202631978,-0.005713591435618781,0.02454184278446614
pooled_60k,60000,0.29723678392474523,0.1911408579289205,0.2574161340074526,0.3593666908541052,0.5049075968520584,0.6862703173855965,47.37174089202636,30.462835306349294,41.02537458727025,57.27361714650945,80.46901711380073,109.3734739954327,0.01584159054803158,0.013226075549471972
lower_20k,20000,0.22466175147590556,0.13157992333228133,0.177750438058283,0.24962668429496135,0.35443466826782644,0.4894690474764956,35.80518581428309,20.97038580617817,28.32875387749128,39.7839407761541,56.48758221184951,78.00851760525715,-0.23219209970872368,-0.296183335524288
