quantile,full_mu,signal_mc_only_mu,signal_nominal_only_mu,signal_mc_only_over_full,signal_nominal_only_over_full,signal_nominal_only_over_signal_mc_only,signal_mc_only_change_percent,signal_nominal_only_change_percent
observed,0.26731085817581834,0.2549445478549703,0.2503100513866692,0.9537380920279925,0.9364006127354272,0.9818215509713998,-4.6261907972007466,-6.3599387264572815
expected_minus2,0.16543567392936423,0.16237848190572907,0.16212978227296895,0.9815203580278551,0.9800170569147814,0.9984683953819417,-1.8479641972144911,-1.998294308521864
expected_minus1,0.22647318971801106,0.21929221796228265,0.2184988875246324,0.9682921772565236,0.9647891999785594,0.9963823137682583,-3.170782274347639,-3.5210800021440614
expected_median,0.32649349927474536,0.30730720717332516,0.3052223780807306,0.941235301333596,0.9348497864696687,0.9932158145206836,-5.876469866640399,-6.515021353033134
expected_plus1,0.4849246926879505,0.43360425015984505,0.42875060163384376,0.8941682217838096,0.8841591449123115,0.9888062708697803,-10.583177821619039,-11.58408550876885
expected_plus2,0.7128480967238738,0.591520426564127,0.5819252251009093,0.8297987036546106,0.8163383303895131,0.9837787487425382,-17.02012963453894,-18.36616696104869
