quantile,mu95,inclusive_sigma95_fb,reference_sigma95_pb,residual_percent
observed,0.30962985674843846,210.00493934592743,0.23813,-11.810801097750211
expected_minus2,0.1260837492359523,85.51568763058836,,
expected_minus1,0.17290596199253247,117.27262494034062,,
expected_median,0.24931175047864837,169.0944781208009,0.20396,-17.094293919983873
expected_plus1,0.36911837324275404,250.35273535423647,,
expected_plus2,0.5388028016718284,365.44037087624537,,
