category,original_N,below_count,upper_count,all_count,below_rate_fb,upper_rate_fb,all_rate_fb,nominal_rate_fb,upper_over_nominal,ratio_low,ratio_high,ratio_precision,upper_hist_relative_error,upper_5pct_floor,below_upper_fixed_N_covariance_pb2
SRmm_eMT2d_lowmet_V2_cuts,20000,7,25,32,0.03183919010999999,0.11371139324999997,0.14555058335999996,0.09451333868533332,1.2031253453926058,0.6911787297933752,1.7150719609918363,supported_conditional_Gaussian,0.2,False,-1.8102393336798598e-13
SRmm_eMT2e_hghmet_cuts,20000,2,20,22,0.009096911459999997,0.09096911459999998,0.10006602606,0.055755401435999996,1.6315749193272473,0.8344599293513412,2.4286899093031535,supported_conditional_Gaussian,0.22360679774997896,False,-4.137689905553965e-14
SRmm_eMT2e_lowmet_V2_cuts,20000,4,11,15,0.018193822919999995,0.05003301303,0.06822683594999998,0.05847746056066666,0.8555948317573385,0.31877589204659396,1.392413771468083,supported_conditional_Gaussian,0.30151134457776363,False,-4.5514588961093614e-14
SRmm_eMT2f_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0006800282966666665,0.0,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2f_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2g_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2g_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2h_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2h_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SR_high,20000,17,113,130,0.07732374740999999,0.5139754974899999,0.5912992448999999,0.4188533228186666,1.2271013968116813,0.9816845817922291,1.4725182118311335,supported_conditional_Gaussian,0.09407208683835973,False,-1.9871255771422917e-12
SR_low,20000,18,74,92,0.08187220313999999,0.33658572402,0.41845792715999997,0.3311406995306666,1.016443235449616,0.768366334195896,1.264520136703336,supported_conditional_Gaussian,0.11624763874381927,False,-1.3778507385494705e-12
